name,brew,scoop
atuin,atuin,atuin
bat,bat,bat
bun,bun,bun
chezmoi,chezmoi,chezmoi
eza,eza,eza
gh,gh,gh
git,git,git
neovim,neovim,neovim
node,node,nodejs
rustup,rustup,rustup
sqlite,sqlite,sqlite
starship,starship,starship
trash,trash,trashy
zellij,zellij,zellij
zoxide,zoxide,zoxide
1password-cli,1password-cli,1password-cli
jetbrains-toolbox,jetbrains-toolbox,jetbrains-toolbox
claude-code,claude-code,claude
espanso,espanso,espanso
google-chrome,google-chrome,googlechrome
vscode,visual-studio-code,vscode
telegram,telegram-desktop,telegram
termius,termius,Termius
wechat,wechat,wechat
